adjetivos,estereotipos,dichos,dichos_completo,adjetivos_errores,adjetivos_limpios
greñuda,,,,,
guanga,,,,,
guarra,,,,,
hacendosa ,,,,,
hermosa,,,,,
hija de la chingada,,,,,
hija de la verga,,,,,
hija de su puta madre,,,,,
hipocrita,,,,,
histerica,,,,,
histérica,,,,,
huevona,,,,,
idiota,,,,,
ignorante,,,,,
imbecil,,,,,
improcendente,,,,,
incrédula,,,,,
independiente,,,,,
india,,,,,
indigena,,,,,
indigente,,,,,
infiel,,,,,
infundada,,,,,
inmoral,,,,,
inteligente,,,,,
interesada,,,,,
intolerante,,,,,
irreverente,,,,,
lampiña,,,,,
lela,,,,,
lepera,,,,,
libertina,,,,,
linda,,,,,
loba ,,,,,
loca,,,,,
lujuriosa,,,,,
machorra,,,,,
malacopa,,,,,
malandra,,,,,
maldita ,,,,,
malparida,,,,,
mamadora,,,,,
mamasota,,,,,
mamona,,,,,
mañosa,,,,,
marginada,,,,,
marimacha,,,,,
marrana,,,,,
menopáusica,,,,,
mentecata,,,,,
miedosa,,,,,
mierda,,,,,
misera ,,,,,
miserable ,,,,,
mitotera,,,,,
mojigata,,,,,
mongola,,,,,
mosquita muerta,,,,,
muerta de hambre,,,,,
mujer,,,,,
mujerzuela,,,,,
mula,,,,,
muñeca,,,,,
mustia,,,,,
naca,,,,,
nalgona,,,,,
narcicista,,,,,
negra,,,,,
ninfomana,,,,,
niña ,,,,,
notable,,,,,
obesa,,,,,
ociosa,,,,,
optimista,,,,,
ordenada,,,,,
organizada,,,,,
orgullosa,,,,,
otra,,,,,
paciente,,,,,
panzona,,,,,
parasita,,,,,
payasa,,,,,
peluda,,,,,
pendejas,,,,,
perezosa,,,,,
perra,,,,,
pícara,,,,,
piernuda,,,,,
pinche,,,,,
piojosa,,,,,
piruja,,,,,
piscópata,,,,,
pobre,,,,,
prieta,,,,,
problemática,,,,,
pronta,,,,,
proxeneta,,,,,
psicopata,,,,,
puntual,,,,,
puritana,,,,,
puta,,,,,
putona,,,,,
putrefacta,,,,,
ramera,,,,,
rancia,,,,,
rara,,,,,
recatada,,,,,
religiosa,,,,,
reservadas,,,,,
responsable,,,,,
retrasada,,,,,
roñosa,,,,,
sacatona,,,,,
sangana,,,,,
santurrona,,,,,
sarnoza,,,,,
satanica ,,,,,
señora,,,,,
sexosa,,,,,
sinvergüenza,,,,,
socia,,,,,
soltera,,,,,
sonsa,,,,,
sopenca,,,,,
soquete,,,,,
sucia,,,,,
suegra,,,,,
sufrida,,,,,
tarada,,,,,
taruga,,,,,
teibolera,,,,,
tesorito,,,,,
testaruda,,,,,
tolerante,,,,,
tolteca,,,,,
tonta,,,,,
torpe,,,,,
tortillera,,,,,
traicionera,,,,,
traidora,,,,,
tramposa,,,,,
tranquila,,,,,
trasvesti,,,,,
trepadora,,,,,
única,,,,,
urgida,,,,,
usada,,,,,
usurpadora,,,,,
velluda,,,,,
vengativa,,,,,
vibora,,,,,
víctima ,,,,,
vieja,,,,,
vientruda,,,,,
vigorosa,,,,,
violada,,,,,
virgen,,,,,
viuda,,,,,
vulgar,,,,,
zonza,,,,,
zorra,,,,,
